ts_us,ch2_mv,ch3_mv
4334360372,370.026,356.299
4334361836,370.026,356.299
4334363335,370.026,356.299
4334364783,370.026,356.299
4334366270,370.026,356.299
4334367733,370.026,356.299
4334369220,370.026,356.299
4334370683,370.026,356.299
4334372146,370.026,356.299
4334373608,370.026,356.299
4334375045,370.026,356.299
4334376514,370.026,356.299
4334377958,370.026,356.299
4334379420,370.026,356.299
4334380858,370.026,356.299
4334382350,370.026,356.299
4334383808,370.026,356.299
4334385294,370.026,356.299
4334386762,370.026,356.299
4334388219,370.026,356.299
4334389658,370.026,356.299
4334391119,370.026,356.299
4334392617,370.026,356.299
4334394071,370.026,356.299
4334395609,370.026,356.299
4334397063,370.026,356.299
4334398514,370.026,356.299
4334399959,370.026,356.299
4334401421,370.026,356.299
4334402908,370.026,356.299
4334404402,370.026,356.299
4334405857,370.026,356.299
4334407345,370.026,356.299
4334408808,370.026,356.299
4334410296,370.026,356.299
4334411757,370.026,356.299
4334413242,370.026,356.299
4334414708,370.026,356.299
4334416184,370.026,356.299
4334417638,370.026,356.299
4334419108,370.026,356.299
4334420607,370.026,356.299
4334422071,370.026,356.299
4334423508,370.026,356.299
4334424968,370.026,356.299
4334426436,370.026,356.299
4334427913,370.026,356.299
4334429383,370.026,356.299
4334430833,370.026,356.299
4334432321,370.026,356.299
4334433762,370.026,356.299
4334435258,370.026,356.299
4334436710,370.026,356.299
4334438209,370.026,356.299
4334439683,370.026,356.299
4334441152,370.026,356.299
4334442607,370.026,356.299
4334444071,370.026,356.299
4334445607,370.026,356.299
4334447079,370.026,356.299
4334448521,370.026,356.299
4334449988,370.026,356.299
4334451458,370.026,356.299
4334452933,370.026,356.299
4334454398,370.026,356.299
4334455857,370.026,356.299
4334457347,370.026,356.299
4334458810,370.026,356.299
4334460284,370.026,356.299
4334461733,370.026,356.299
4334463220,370.026,356.299
4334464684,370.026,356.299
4334466150,370.026,356.299
4334467608,370.026,356.299
4334469072,370.026,356.299
4334470609,370.026,356.299
4334472086,370.026,356.299
4334473536,370.026,356.299
4334474983,370.026,356.299
4334476447,370.026,356.299
4334477936,370.026,356.299
4334479387,370.026,356.299
4334480832,370.026,356.299
4334482322,370.026,356.299
4334483782,370.026,356.299
4334485268,370.026,356.299
4334486732,370.026,356.299
4334488203,370.026,356.299
4334489659,370.026,356.299
4334491122,370.026,356.299
4334492606,370.026,356.299
4334494044,370.026,356.299
4334495482,370.026,356.299
4334496944,370.026,356.299
4334498412,370.026,356.299
4334499907,370.026,356.299
4334501392,370.026,356.299
4334502856,370.026,356.299
4334504340,370.026,356.299
4334505810,370.026,356.299
4334507295,370.026,356.299
4334508758,370.026,356.299
4334510243,370.026,356.299
4334511706,370.026,356.299
4334513168,370.026,356.299
4334514607,370.026,356.299
4334516040,370.026,356.299
4334517509,370.026,356.299
4334518942,370.026,356.299
4334520418,370.026,356.299
4334521908,370.026,356.299
4334523403,370.026,356.299
4334524856,370.026,356.299
4334526340,370.026,356.299
4334527806,370.026,356.299
4334529291,370.026,356.299
4334530756,370.026,356.299
4334532241,370.026,356.299
4334533706,370.026,356.299
4334535168,370.026,356.299
4334536605,370.026,356.299
4334538068,370.026,356.299
4334539508,370.026,356.299
4334540967,370.026,356.299
4334542406,370.026,356.299
4334543859,370.026,356.299
4334545343,370.026,356.299
4334546806,370.026,356.299
4334548291,370.026,356.299
4334549757,370.026,356.299
4334551242,370.026,356.299
4334552706,370.026,356.299
4334554194,370.026,356.299
4334555657,370.026,356.299
4334557116,370.026,356.299
4334558606,370.026,356.299
4334560065,370.026,356.299
4334561506,370.026,356.299
4334562964,370.026,356.299
4334564431,370.026,356.299
4334565932,370.026,356.299
4334567391,370.026,356.299
4334568832,370.026,356.299
4334570319,370.026,356.299
4334571781,370.026,356.299
4334573267,370.026,356.299
4334574735,370.026,356.299
4334576209,370.026,356.299
4334577662,370.026,356.299
4334579132,370.026,356.299
4334580606,370.026,356.299
4334582048,370.026,356.299
4334583484,370.026,356.299
4334584918,370.026,356.299
4334586382,370.026,356.299
4334587832,370.026,356.299
4334589319,370.026,356.299
4334590782,370.026,356.299
4334592267,370.026,356.299
4334593712,370.026,356.299
4334595196,370.026,356.299
4334596631,370.026,356.299
4334598089,370.026,356.299
4334599531,370.026,356.299
4334600992,370.026,356.299
4334602456,370.026,356.299
4334603932,370.026,356.299
4334605390,370.026,356.299
4334606831,370.026,356.299
4334608319,370.026,356.299
4334609786,370.026,356.299
4334611278,370.026,356.299
4334612731,370.026,356.299
4334614214,370.026,356.299
4334615682,370.026,356.299
4334617139,370.026,356.299
4334618606,370.026,356.299
4334620040,370.026,356.299
4334621466,370.026,356.299
4334622930,370.026,356.299
4334624387,370.026,356.299
4334625836,370.026,356.299
4334627318,370.026,356.299
4334628780,370.026,356.299
4334630263,370.026,356.299
4334631705,370.026,356.299
4334633173,370.026,356.299
4334634631,370.026,356.299
4334636088,370.026,356.299
4334637605,370.026,356.299
4334639048,370.026,356.299
4334640506,370.026,356.299
4334641938,370.026,356.299
4334643405,370.026,356.299
4334644855,370.026,356.299
4334646338,370.026,356.299
4334647805,370.026,356.299
4334649288,370.026,356.299
4334650756,370.026,356.299
4334652229,370.026,356.299
4334653681,370.026,356.299
4334655140,370.026,356.299
4334656605,370.026,356.299
4334658063,370.026,356.299
4334659506,370.026,356.299
4334660957,370.026,356.299
4334662410,370.026,356.299
4334663856,370.026,356.299
4334665350,370.026,356.299
4334666806,370.026,356.299
4334668289,370.026,356.299
4334669756,370.026,356.299
4334671246,370.026,356.299
4334672705,370.026,356.299
4334674164,370.026,356.299
4334675605,370.026,356.299
4334677064,370.026,356.299
4334678506,370.026,356.299
4334679964,370.026,356.299
4334681431,370.026,356.299
4334682906,370.026,356.299
4334684388,370.026,356.299
4334685832,370.026,356.299
4334687318,370.026,356.299
4334688756,370.026,356.299
4334690239,370.026,356.299
4334691706,370.026,356.299
4334693163,370.026,356.299
4334694631,370.026,356.299
4334696065,370.026,356.299
4334697534,370.026,356.299
4334698967,370.026,356.299
4334700415,370.026,356.299
4334701932,370.026,356.299
4334703397,370.026,356.299
4334704856,370.026,356.299
4334706339,370.026,356.299
4334707780,370.026,356.299
4334709266,370.026,356.299
4334710754,370.026,356.299
4334712238,370.026,356.299
4334713681,370.026,356.299
4334715140,370.026,356.299
4334716606,370.026,356.299
4334718065,370.026,356.299
4334719532,370.026,356.299
4334720993,370.026,356.299
4334722460,370.026,356.299
4334723930,370.026,356.299
4334725387,370.026,356.299
4334726834,370.026,356.299
4334728321,370.026,356.299
4334729784,370.026,356.299
4334731269,370.026,356.299
4334732731,370.026,356.299
4334734213,370.026,356.299
4334735682,370.026,356.299
4334737158,370.026,356.299
4334738606,370.026,356.299
4334740039,370.026,356.299
4334741480,370.026,356.299
4334742937,370.026,356.299
4334744393,370.026,356.299
4334745830,370.026,356.299
4334747313,370.026,356.299
4334748755,370.026,356.299
4334750236,370.026,356.299
4334751680,370.026,356.299
4334753138,370.026,356.299
4334754605,370.026,356.299
4334756038,370.026,356.299
4334757505,370.026,356.299
4334758937,370.026,356.299
4334760394,370.026,356.299
4334761858,370.026,356.299
4334763340,370.026,356.299
4334764805,370.026,356.299
4334766287,370.026,356.299
4334767691,370.026,356.299
4334769156,370.026,356.299
4334770605,370.026,356.299
4334772062,370.026,356.299
4334773495,370.026,356.299
4334774955,370.026,356.299
4334776412,370.026,356.299
4334777855,370.026,356.299
4334779336,370.026,356.299
4334780780,370.026,356.299
4334782264,370.026,356.299
4334783705,370.026,356.299
4334785162,370.026,356.299
4334786605,370.026,356.299
4334788063,370.026,356.299
4334789505,370.026,356.299
4334790956,370.026,356.299
4334792418,370.026,356.299
4334793906,370.026,356.299
4334795388,370.026,356.299
4334796906,370.026,356.299
4334798389,370.026,356.299
4334799858,370.026,356.299
4334801342,370.026,356.299
4334802806,370.026,356.299
4334804288,370.026,356.299
4334805756,370.026,356.299
4334807240,370.026,356.299
4334808706,370.026,356.299
4334810164,370.026,356.299
4334811606,370.026,356.299
4334813066,370.026,356.299
4334814506,370.026,356.299
4334815963,370.026,356.299
4334817419,370.026,356.299
4334818933,370.026,356.299
4334820391,370.026,356.299
4334821830,370.026,356.299
4334823281,370.026,356.299
4334824730,370.026,356.299
4334826214,370.026,356.299
4334827680,370.026,356.299
4334829137,370.026,356.299
4334830605,370.026,356.299
4334832039,370.026,356.299
4334833481,370.026,356.299
4334834940,370.026,356.299
4334836380,370.026,356.299
4334837831,370.026,356.299
4334839317,370.026,356.299
4334840779,370.026,356.299
4334842262,370.026,356.299
4334843705,370.026,356.299
4334845163,370.026,356.299
4334846630,370.026,356.299
4334848086,370.026,356.299
4334849610,370.026,356.299
4334851032,370.026,356.299
4334852489,370.026,356.299
4334853930,370.026,356.299
4334855386,370.026,356.299
4334856830,370.026,356.299
4334858317,370.026,356.299
4334859756,370.026,356.299
4334861239,370.026,356.299
4334862706,370.026,356.299
4334864170,370.026,356.299
4334865610,370.026,356.299
4334867043,370.026,356.299
4334868505,370.026,356.299
4334869938,370.026,356.299
4334871405,370.026,356.299
4334872856,370.026,356.299
4334874339,370.026,356.299
4334875806,370.026,356.299
4334877289,370.026,356.299
4334878756,370.026,356.299
4334880239,370.026,356.299
4334881685,370.026,356.299
4334883156,370.026,356.299
4334884605,370.026,356.299
4334886063,370.026,356.299
4334887505,370.026,356.299
4334888962,370.026,356.299
4334890420,370.026,356.299
4334891906,370.026,356.299
4334893389,370.026,356.299
4334894906,370.026,356.299
4334896391,370.026,356.299
4334897836,370.026,356.299
